movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm
20240614,퇴마록,Exorcism Chronicles: The Beginning,2024,20250221,장편,개봉,한국,"애니메이션,액션,미스터리",한국,애니메이션
20249475,목소리들,VOICES,2024,20250402,장편,개봉예정,한국,다큐멘터리,한국,다큐멘터리
20252933,젊은 장모의 금지된 서방질,,2025,20250224,장편,개봉,한국,"성인물(에로),드라마",한국,성인물(에로)
20252932,승하 컴백작 더럽혀진 자매들,,2025,20250224,장편,개봉,한국,"성인물(에로),드라마",한국,성인물(에로)
20253001,블랙 백,BLACK BAG,2025,20250319,장편,개봉예정,미국,"드라마,스릴러",미국,드라마
20252735,여성국극 끊어질듯 이어지고 사라질듯 영원하다,Women’s Gukgeuk: Enduring on the Edge of Time,2024,20250319,장편,개봉예정,한국,다큐멘터리,한국,다큐멘터리
20252745,그랜드 투어,Grand Tour,2024,20240326,장편,개봉예정,포르투갈,드라마,포르투갈,드라마
20252623,하이퍼 프로젝션 연극 하이큐!! 최강의 팀,HYPER PROJECTION ENGEKI “HAIKYU!!”:The Best Team,2018,20250221,장편,개봉,일본,공연,일본,공연
20252600,"극장판 요아소비 5주년 기념 돔 라이브 2024 ""초현실""","YOASOBI 5th ANNIVERSARY DOME LIVE 2024 ""SURREALISM""",2025,20250221,장편,개봉,일본,공연,일본,공연
20236140,코넬의 상자,Cornell's Box,2023,20250108,장편,개봉,한국,"미스터리,스릴러",한국,미스터리
20244361,히어 ,HERE,2024,20250219,장편,개봉,미국,드라마,미국,드라마
20252329,패딩턴: 페루에 가다!,Paddington in Peru,2024,20250219,장편,개봉,"미국,영국,프랑스","코미디,드라마",미국,코미디
20252795,제로베이스원 더 퍼스트 투어 [타임리스 월드] 인 시네마,ZEROBASEONE THE FIRST TOUR [TIMELESS WORLD] IN CINEMAS,2025,20250312,장편,개봉예정,한국,공연,한국,공연
20249325,에밀리아 페레즈,Emilia Perez,2024,20250312,장편,개봉예정,프랑스,"뮤지컬,코미디",프랑스,뮤지컬
20248710,엘리: 몬스터 패밀리,ELLI AND HER MONSTER TEAM,2024,20250214,장편,개봉,독일,애니메이션,독일,애니메이션
20246270,써니데이,Sunny Day,2024,20250219,장편,개봉,한국,드라마,한국,드라마
20252194,영화 이상한 과자 가게 전천당,The Supernatural Sweet Shop The Movie,2024,20250219,장편,개봉,일본,"판타지,미스터리,드라마",일본,판타지
20233944,몽유도원,Utopia,2024,20250219,장편,개봉,한국,"코미디,드라마",한국,코미디
20252884,나는 자연산이다,,2025,20250219,장편,개봉,한국,드라마,한국,드라마
20245194,고백,Confession,2024,20250219,장편,개봉,일본,스릴러,일본,스릴러
20251607,호조,,2025,20250312,장편,개봉예정,한국,"뮤지컬,드라마",한국,뮤지컬
20249507,극장판 하이큐!! 쓰레기장의 결전,Haikyu!!: The Dumpster Battle,2024,20240515,장편,개봉,일본,애니메이션,일본,애니메이션
20246269,면접교섭,Visitation Rights,2024,20241225,장편,개봉,한국,다큐멘터리,한국,다큐멘터리
20249733,사랑의 하츄핑,Heartsping : Teenieping of Love,2024,20240807,장편,개봉,한국,애니메이션,한국,애니메이션
20252508,옆집 이모-이제 내 아내가 되어줘,GANNGUNI NAXTUTA-05,2023,20250217,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스
20252523,결국 남편 상사를 세워줬습니다,TYOUKUTUJYOKU,2023,20250217,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스
20216383,와일드 투어,Wild Tour,2019,20250312,장편,개봉예정,일본,드라마,일본,드라마
20212430,두 사람,Life Unrehearsed,2022,20250212,장편,개봉,한국,다큐멘터리,한국,다큐멘터리
20242822,문워크,MOON's walking,2024,20250122,장편,개봉,한국,드라마,한국,드라마
20251712,9월 5일: 위험한 특종,September 5,2024,20250205,장편,개봉,미국,"스릴러,드라마",미국,스릴러
19988717,명탐정 코난: 14번째 표적,"DETECTIVE CONAN, The Fourteenth Target ",1998,20250214,장편,개봉,일본,애니메이션,일본,애니메이션
20252424,은혼 일국경성편 온 씨어터,Gintama on Theater 2D: Ikkoku Keisei-hen,2024,20250214,장편,개봉,일본,애니메이션,일본,애니메이션
20251740,너도 먹고 나도 먹고,,2024,20250214,장편,개봉,한국,"성인물(에로),드라마,멜로/로맨스",한국,성인물(에로)
20252798,골프정사,,2025,20250214,장편,개봉,한국,드라마,한국,드라마
20234713,딸에 대하여,Concerning My Daughter,2023,20240904,장편,개봉,한국,드라마,한국,드라마
20232134,돌핀,Dolphin,2023,20240313,장편,개봉,한국,드라마,한국,드라마
20241812,아카디안,Arcadian,2024,20250213,장편,개봉,미국,"SF,액션,스릴러",미국,SF
20245501,유부녀 : 남편보다 맛있는 남자들,,2024,20250125,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스
20251845,대물 흑인에 푹 빠진 여자들,,2024,20250125,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스
20240986,유부녀 삽입의 시작 무삭제판,,2023,20250124,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스
20240900,우리 넣은적 있나요 무삭제판,,2023,20250124,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스
20240854,야한 그녀의 새하얀 속살,KONGANURA,2024,20250124,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스
20240934,새엄마의 구멍 쉐어링 무삭제판,,2023,20250124,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스
20240985,모든걸 쏟아내는 유부녀 무삭제판,,2023,20250124,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스
20240832,단둘만의 아찔한 온천여행,EROKI-07,2023,20250124,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스
20245492,정사 : 잠든 남편 옆에서,,2024,20250118,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스
20251567,카렌-진실된 사랑찾기,,2024,20250117,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스
20240276,절정에서 다른 취향에 각성하는 새엄마,,2024,20250117,장편,개봉,일본,성인물(에로),일본,성인물(에로)
20240898,우리 이러면 안돼요,,2024,20250117,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스
20243195,엄마 친구들 5,,2024,20250117,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스
20251566,스토커 아가씨,,2024,20250117,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스
20240158,도시여자들 섹스생활,,2024,20250115,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20240830,키스만으로 가버리는 그녀들,TOROKERU HITO,2023,20250114,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스
20240829,잘 대주는 친절한 옆집 아줌마,WAKAI SAO,2023,20250114,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스
20240831,얌전한 그녀의 화려한 도쿄 정복기,OTONANO TUYA,2024,20250114,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스
20251565,아야뽕 - 변호사의 첫사랑,,2024,20250114,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스
